size,errGaussGFloat,errGaussPGFloat,errGaussFGFloat,errGaussGDouble,errGaussPGDouble,errGaussFGDouble
25,2.7275084E-6,1.9180775E-6,9.229779E-7,8.481104707414033E-14,8.852776289813846E-12,5.959122084675527E-16
50,1.5416666E-5,1.06670705E-5,1.8164516E-6,3.5792008246104957E-13,9.059449024295674E-13,3.817682281415102E-14
75,2.1023503E-4,8.8674926E-5,4.930695E-6,1.1341019096056115E-12,4.0977267875182596E-13,1.391494558466988E-14
100,1.2352382E-4,3.842481E-5,6.553619E-6,1.5014431538340477E-13,4.3620626208329406E-13,7.97916420436362E-15
125,1.8541566E-4,2.0886202E-5,8.089297E-6,7.607403873510777E-13,1.4612464016572345E-13,2.7920721290541905E-15
150,0.002357061,9.935265E-4,1.6557351E-5,7.025631002891923E-13,1.7111777272926786E-13,1.2023669097397752E-14
175,0.0018779077,3.8235463E-5,6.744621E-6,1.3774605365065742E-12,1.4518173369853267E-13,1.5459746578143958E-14
200,0.011866132,0.00100173,6.137682E-6,4.3009486570084674E-13,1.1859856984832406E-12,6.169528592430556E-15
